X,lon,lat
193,-84.4378495,10.060727
194,151.2092955,-33.8688197
195,-0.1277583,51.5073509
196,-118.2436849,34.0522342
197,77.3910265,28.5355161
198,-82.9987942,39.9611755
199,-117.0844872,32.6425901
200,-73.6283638,40.8079864
201,-73.9788248,40.7521501
202,19.699024,48.669026
203,106.9755726,-6.2382699
204,-74.0059413,40.7127837
205,-105.7820674,39.5500507
206,113.921327,-0.789275
207,-82.499394,27.271076
208,-71.2643465,42.0909458
209,-95.712891,37.09024
210,-2.277593,52.3417839
211,-96.7969879,32.7766642
212,-73.9697655,40.7506077
213,124.8420794,1.4748305
214,77.5945627,12.9715987
215,-0.0722785,51.6049674
216,-121.7534634,36.5842902
217,77.5945627,12.9715987
218,-0.081389,51.506579
219,-3.7033725,40.4162883
220,-80.258378,36.043226
221,-86.3442107,34.3614336
222,-122.2913078,37.8271784
223,-95.3698028,29.7604267
224,-81.5157535,27.6648274
225,-80.1917902,25.7616798
226,-83.9811014,34.1140497
227,-75.1652215,39.9525839
228,-122.3255254,37.5629917
229,-0.1277583,51.5073509
230,153.0251235,-27.4697707
231,5.291266,52.132633
232,-103.4415022,20.651992
233,1.0990045,49.4367322
234,-82.4571776,27.950575
235,-89.7678746,39.5008866
236,0.5217254,51.2787075
237,-88.2825668,42.0354084
238,-98.4842465,39.011902
239,36.8219462,-1.2920659
240,-117.1610838,32.715738
241,-118.2436849,34.0522342
242,-91.8318334,37.9642529
243,-83.2732642,42.515868
244,2.317384,48.816363
245,-84.3879824,33.7489954
246,-63.616672,-38.416097
247,3.057256,50.62925
248,-73.7567021,45.6667418
249,-102.552784,23.634501
250,135.4523282,34.6830488
251,-87.866784,42.154475
252,-58.5029706,-34.6572422
253,-58.4237574,-35.0241698
254,-58.2546051,-34.7206336
255,-117.865297,33.6700655
256,-97.7430608,30.267153
257,8.675277,9.081999
258,-117.3958797,34.07029
259,138.252924,36.204824
260,151.2092955,-33.8688197
261,13.0816305,37.5085148
262,144.963056,-37.813611
263,-73.8834133,40.7559771
264,35.5017767,33.8937913
